Year,Als,Auv,Aux,Bea,Bor,Bur,Cha1,Cha2,Gai,Ger,HLV,IdF,Jur,Lan,LLV,Lux,Mar,NIt,NLo,NRv,Sav,Spa,SLo,SRv,Swi,VSE,VPC,GHDmean,GHDcore
1437,,,,,,,,,,,,,,,,,,,,,,,,-8.598630136986287,,,,-8.598630136986287,-8.598630136986287
1438,,,,,,,,,,,,,,,,,,,,,,,,-10.598630136986287,,,,-10.598630136986287,-10.598630136986287
1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,,,,,,2.0786666666666633,,,,,,,,,,,,,,,,,,-16.598630136986316,,,,-7.259981735159826,-7.259981735159826
1441,,,,,,-8.921333333333337,,,,,,,,,,,,,,,,,,-9.598630136986287,,,,-9.259981735159812,-9.259981735159812
1442,,,,,,,,,,,,,,,,,,,,,,,,-15.598630136986316,,,,-15.598630136986316,-15.598630136986316
1443,,,,,,-0.9213333333333367,,,,,,,,,,,,,,,,,,-12.598630136986287,,,,-6.759981735159812,-6.759981735159812
1444,,,,,,,,,,,,,,,,,,,,,,,,-8.598630136986287,,,,-8.598630136986287,-8.598630136986287
1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,,,,,,4.078666666666663,,,,,,,23.33819444444441,,,,,,,,,,,,,,,13.708430555555537,4.078666666666663
1449,,,,,22.99333333333334,15.078666666666663,,,,,,,-3.6618055555555884,,,,,,,,,,,,,,,11.470064814814805,19.036
1450,,,,,,-1.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-1.9213333333333367,-1.9213333333333367
1451,,,,,18.99333333333334,12.078666666666663,,,,,,,,,,,,,,,,,,,,,,15.536000000000001,15.536000000000001
1452,,,,,,-1.9213333333333367,,,,,,,-17.66180555555559,,,,,,,,,,,,,,,-9.791569444444463,-1.9213333333333367
1453,,,,,,10.078666666666663,,,,,,,3.3381944444444116,,,,,,,,,,,,,,,6.7084305555555375,10.078666666666663
1454,,,,,,7.078666666666663,,,,,,,,,,,,,,,,,,,,,,7.078666666666663,7.078666666666663
1455,,,,,,4.078666666666663,,,,,,,,,,,,,,,,,,,,,,4.078666666666663,4.078666666666663
1456,,,,,,7.078666666666663,,,,,,,,,,,,,,,,,,,,,,7.078666666666663,7.078666666666663
1457,,,,,,-12.921333333333337,,,,,,,,,,,,,,,,,,,,,,-12.921333333333337,-12.921333333333337
1458,,,,,,-8.921333333333337,,,,,,,,,,,,,,,,,,-17.598630136986316,,,,-13.259981735159826,-13.259981735159826
1459,,,,,,8.078666666666663,,,,,,,,,,,,,,,,,,,,,,8.078666666666663,8.078666666666663
1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,,,,,0.9933333333333394,-10.921333333333337,,,,,,,,,,,,,,,,,,,,,,-4.963999999999999,-4.963999999999999
1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,,,,,,8.078666666666663,,,,,,,,,,,,,,,,,,,,,,8.078666666666663,8.078666666666663
1464,,,,,,-11.921333333333337,,,,,,,,,,,,,,,,,,,,,,-11.921333333333337,-11.921333333333337
1465,,,,,32.99333333333334,14.078666666666663,,,,,,,6.338194444444412,,,,,,,,,,,,,,,17.803398148148137,23.536
1466,,,,,,0.07866666666666333,,,,,,,,,,,,,,,,,,,,,,0.07866666666666333,0.07866666666666333
1467,,,,,,0.07866666666666333,,,,,,,4.338194444444412,,,,,,,,,,,-11.19863013698631,,,,-2.260589675291745,-5.559981735159823
1468,,,,,,6.078666666666663,,,,,,,,,,,,,,,,,,,,,,6.078666666666663,6.078666666666663
1469,,,,,,-6.921333333333337,,,,,,,,,,,,,,,,,,-8.19863013698631,,,,-7.559981735159823,-7.559981735159823
1470,,,,,,10.078666666666663,,,,,,,,,,,,,,,,,,-9.19863013698631,,,,0.4400182648401767,0.4400182648401767
1471,,,,,,-15.921333333333337,,,,,,,,,,,,,,,,,,,,,,-15.921333333333337,-15.921333333333337
1472,,,,,,-2.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-2.9213333333333367,-2.9213333333333367
1473,,,,,,-28.921333333333337,,,,,,,,,,,,,,,,,,,,,,-28.921333333333337,-28.921333333333337
1474,,,,,18.99333333333334,12.078666666666663,,,,,,,,,,,,,,,,,,,,,,15.536000000000001,15.536000000000001
